epoch,loss,mse,val_loss,val_mse
1,1.965111995,0.219663641,0.59205424,0.287506104
2,1.936876845,0.214671123,0.572658237,0.269863892
3,1.927930665,0.207250819,0.578962083,0.272798157
3,0.406256289,0.021837725,1.163661815,0.130925751
4,0.131018768,0.01772653,0.021527979,0.007308197
5,0.088090951,0.017270563,0.046821389,0.020814514
6,0.070573268,0.017652691,0.257043308,0.017097473
7,0.05798425,0.01721232,0.034405743,0.011832428
8,0.048735971,0.016374745,0.018738373,0.006150818
9,0.04461895,0.016824566,0.178901036,0.061301422
10,0.047276452,0.016173135,0.017289475,0.006616211
11,0.036228961,0.015697427,0.026833603,0.01121521
12,0.033858583,0.016368046,0.01892449,0.008586121
13,0.031778315,0.015141758,0.016035196,0.00697937
14,0.03000427,0.01464845,0.011655159,0.005303955
15,0.028994343,0.015384979,0.009122067,0.003713226
16,0.028041636,0.01569881,0.007722689,0.003139496
17,0.012068079,0.015074644,0.006826502,0.00273819
18,0.012119189,0.014548202,0.007377224,0.003031921
19,0.011721205,0.014678963,0.005569199,0.002322388
20,0.010718967,0.014258507,0.006198032,0.002677917
21,0.010435133,0.014474243,0.005782317,0.002455139
22,0.010495541,0.014068149,0.005278769,0.002185059
23,0.010129084,0.014177607,0.005173939,0.002119446
24,0.010241747,0.014752731,0.005311386,0.00222702
25,0.010287533,0.013591337,0.005084454,0.002083588
26,0.010444223,0.014766528,0.006044677,0.002601624
27,0.01006309,0.014260588,0.005228183,0.00218277
28,0.009969651,0.0140999,0.005107805,0.002085876
29,0.009747976,0.013989121,0.005093667,0.002036285
30,0.00840305,0.014262423,0.004976387,0.002043915
31,0.008405927898313261,0.014960683039450822,0.00506669176300723,0.002057647705078125
32,0.008286525363004522,0.01428631470403879,0.005056257593958997,0.002093505859375
33,0.008251990858269366,0.014042433166851926,0.005040578330202215,0.002083587646484375
34,0.008600730630324075,0.0150179346226842,0.005082503801963891,0.002111053466796875
35,0.008353414098536106,0.01503182857658861,0.005013409914019061,0.002057647705078125
36,0.008164668485130134,0.014835422191964952,0.00507235040517553,0.0020965576171875
37,0.008349959282694679,0.01422515661259623,0.005035715931899902,0.0020721435546875
38,0.008410496325967343,0.013833784288114034,0.005094567461031015,0.002101898193359375
39,0.008170946154400314,0.013800050203357579,0.005047346851365321,0.002054595947265625
40,0.008194380660394305,0.014601633744314313,0.005028390578219396,0.00206298828125
41,0.008644081324976134,0.014901478616153135,0.005011722148064837,0.00205078125
42,0.008103990493538347,0.014304445871446086,0.005122583500953885,0.002124786376953125
43,0.00797729591814507,0.01439068569912036,0.00501309495379504,0.002063751220703125
44,0.008352900800099107,0.0146914401030364,0.005063430711290359,0.002075958251953125
45,0.008241683430969714,0.013751227855927459,0.005053403489462015,0.002054595947265625
46,0.008006729471105102,0.014881728772735713,0.00493883025031787,0.0019989013671875
47,0.008176084819838012,0.015307597146908703,0.005028200329116066,0.002068328857421875
48,0.007934642474069015,0.014164045965299011,0.0050632488421003706,0.002093505859375
49,0.008065431683912482,0.014426248625386506,0.005074712993328815,0.002086639404296875
50,0.008310912273775197,0.014862925761783692,0.005040887623805878,0.002071380615234375
51,0.008428111562113228,0.014400713839935825,0.005033827526922057,0.002065277099609375
52,0.008189736037073951,0.014311812236586488,0.004985631009580941,0.00204315185546875
53,0.008152370816586834,0.013747630567951618,0.005001185114935327,0.00203399658203125
54,0.008143328529733576,0.013850719167997962,0.005046834763819242,0.002083587646484375
55,0.008134476844172336,0.01454328074714316,0.004995262327404641,0.0020263671875
56,0.008148557930498531,0.013898160914571857,0.005018540931667621,0.002069091796875
57,0.008397664951993839,0.014421529109638773,0.005025873344454158,0.002063751220703125
58,0.008221936056782541,0.013770414973413081,0.004923687066706413,0.0019805908203125
59,0.008071702707705922,0.01534614539460132,0.005012290966783207,0.002065277099609375
60,0.008243797614092106,0.01393320569462192,0.005035137235092588,0.0020599365234375
61,0.007954909518900278,0.014431615903863292,0.005057164418790771,0.002085113525390625
62,0.008362308855315572,0.01500454352077979,0.005018762032272977,0.002056121826171875
63,0.008513851266501374,0.013875117037433052,0.004978523018572779,0.00203094482421875
64,0.008187397592701018,0.013936162216123194,0.005089102622583485,0.002099609375
65,0.008327540267552985,0.014369541433897164,0.005053214059211994,0.0020843505859375
66,0.00821520779649482,0.014566149874467796,0.005072958957409139,0.0020843505859375
67,0.008554592780082634,0.014659161553840692,0.004997836625557838,0.0020416259765625
68,0.008068995040498282,0.014008502024961145,0.0049991191779832035,0.002051544189453125
69,0.0082009146137065,0.015428520813829413,0.004989441721775073,0.002040863037109375
70,0.008105050956242178,0.013430050303424267,0.005009910031852469,0.002045440673828125
71,0.008367637191948139,0.01486873299336845,0.004987051170739372,0.002045440673828125
