epoch,loss,auc,val_loss,val_auc
0,32.6638845,0.7054737,0.266247,0.860902778
1,17.49594541,0.771819502,0.230005961,0.892361111
2,10.53228566,0.824830465,0.194504739,0.909305556
3,7.130021765,0.854506536,0.220972282,0.935347222
4,5.270202944,0.883899961,0.230599658,0.937986111
5,4.214887138,0.903630924,0.186742705,0.945625
6,3.556471734,0.917586421,0.247840617,0.920208333
7,3.1170397,0.92896904,0.340011732,0.932986111
8,2.856139768,0.935939993,0.26800062,0.940347222
9,2.576617214,0.943935735,0.189461823,0.935069444
10,2.42848274,0.950003178,0.253864359,0.918125
11,2.271540846,0.955564762,0.190390391,0.945416667
12,2.131037698,0.960087055,0.201682916,0.952361111
13,2.038539879,0.96444221,0.222910725,0.952569444
14,1.948774729,0.967995232,0.218880693,0.947916667
15,1.8716384248601066,0.9969578431712256,0.18949161821081495,0.9445833333333332
16,1.8086618509557513,0.9969055684076416,0.1801630079641329,0.9423611111111111
17,1.7393265528811348,0.9977544421950976,0.2711709068475723,0.8986111111111111
18,1.6904736542039447,0.9979999068710539,0.22020451872926064,0.9419444444444444
19,1.6359797385003831,0.9984119969937536,0.23244856230418448,0.9545833333333333
20,1.5939236799875895,0.9986446443531248,0.25072915367321225,0.9438194444444444
21,1.5706354998879963,0.9987347192234464,0.3597003967237276,0.949861111111111
22,1.5300755934582817,0.9988094555007087,0.22756102013161794,0.9378472222222222
23,1.500977748301294,0.9988966706726287,0.217064475733657,0.9577083333333334
